name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300575?from=vacancy_search_list&query=frontend
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300577?from=vacancy_search_list&query=frontend
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300579?from=vacancy_search_list&query=frontend
Vue.js Frontend Разработчик,з/п не указана,ООО МЕГА Сервис,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Наша команда строит систему аналитики недвижимости США.Мы ищем опытных frontend разработчиков JavaScript, которые хорошо разбираются в Vue.js. Проект включает в себя:- Big data- Аналитику- ML- Визуализацию данных- И многое другое Видео демо системы:https://youtu.be/iL4mbYzS32w Frontend stack:- Vue 2- d3- AWS Amplify- HTML/CSS- Mapbox Условия:- Full time- Remote- Отличная ЗП- Гибкий график- Оплачиваемые курсы- Отличная команда из 6 стран Если вам не интересно просто работать в пустую, если вы хотите строить что-то большое и амбициозное, давайте знакомиться!",JavaScript CSS HTML5 HTML Vue.j,https://hh.ru/vacancy/48667307?from=vacancy_search_list&query=frontend
Frontend-разработчик,от 150 000 руб. на руки,ООО ЮНИМ,"Москва, Подсосенский переулок, 23с6",https://hh.ru/search/vacancy/map?vacancy_id=48699169,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Чем мы занимаемся: * Разрабатываем сложный многокомпонентный софт для онкодиагностики с применением современных технологий; * Много экспериментируем с технологиями и инструментами; * Активно используем линтеры, автосборки, автотесты и прочие современные вещи. Какие технологии мы используем: * React (hooks) и Typescript - в новых проектах; * Vue - в старых проектах; * Svelte + SvelteKit + Typescript для микрофронтендов по особым случаям; * Rollup, Webpack, SCSS, Jest и многое другое как вспомогательные инструменты; * Node.JS; * Docker/docker-compose; * Gitlab и Gitlab CI.   Чем тебе предстоит заниматься: * Писать и поддерживать новый код на React; * Рефакторить и поддерживать старый код на Vue; * Изредка поддерживать старый код на Node.JS для совместимости с новым кодом; * Экспериментировать и решать нестандартные задачи на Svelte; * Проводить и проходить ревью; * и решать другие frontend-задачи.   Чего мы ждем: * Отличное знание JS (асинхронные операции, ES6-синтаксис и т. д.); * Опыт коммерческой разработки на базе любых UI-фреймворков (React, Vue, Svelte и др.); * Желание работать со Vue и React (hooks); * Знание HTML+CSS; * Умение работать с Docker/docker-compose; * Опыт работы с современным frontend-стеком (линтеры, бандлеры, транспиляторы, CSS-extensions etc); * Заинтересованность во frontend-разработке и желание в ней развиваться. Плюсом будет: * Опыт работы с Typescript / Svelte / Rollup; * Опыт бэкенд-разработки — Node.JS, SQL и т.д.; * Дух экспериментаторства.   Преимущества работы с нами: * Любим пробовать новое и интересное для решений задач — стек технологий и архитектурных решений ограничен только здравым смыслом; * Интересные люди вокруг — в процессе работы над некоторыми задачами можно (а иногда и нужно) общаться с врачами-диагностами и персоналом лаборатории. Можно приехать в лабораторию в Сколково и получить персональную экскурсию ;) * Крутой контекст. Софт в онкодиагностической лаборатории круче онлайн-магазинов или доставки еды ;) * Открытая и дружелюбная команда, готовая рассказать/посоветовать/помочь; * Все используемые технологии — современные (даже в легаси); * Полная удалёнка с гибким рабочим графиком — можно даже менять местами рабочие дни.",JavaScript TypeScript Git Adobe Photoshop Webpac,https://hh.ru/vacancy/48699169?from=vacancy_search_list&query=frontend
Frontend разработчик,от 80 000 до 120 000 руб. на руки,БейсикДекор,"Бабушкинская, Москва, проезд Дежнёва, 1",https://hh.ru/search/vacancy/map?vacancy_id=48920972,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","О нас:  Работаем с 2010 года; Топ-5 интернет-магазин по продаже светильников в России; 8 филиалов в городах-миллионниках России; Более 50 партнеров в городах России, представляющих бренд BasicDecor; Ведущий поставщик в поставке освещения дизайнерам интерьера; Регулярное участие в социальных проектах; Для сотрудников компании скидки на продукцию; Возможности для дальнейшего профессионального и карьерного роста; Молодая жизнерадостная команда. Открытое к диалогу и инициативам руководство.  В связи с расширением команды ищем frontend разработчика. Пользователями ваших решений будут как клиенты интернет-магазина, так и сотрудники различных подразделений компании. Что требуется:  Знания HTML5, CSS3 Javascript (ES5/ES6) — (Async/await, Promises etc...) Axios Less/Sass Знакомство с npm/scss/flex/postcss Протокол HTTP Webpack BEM Работа с Git Понимание подхода REST  Чем надо будет заниматься:  Адаптивная и кроссбраузерная верстка HTML5, CSS3, JS (ES5, ES6+), W3C Участвовать в разработке интересных, нестандартных, продуктов Разрабатывать новый функционал и интерфейсы Участие в развитии новых продуктов  Что мы предлагаем:  Отлаженные процессы разработки Нетривиальные и интересные задачи Заработная плата по результатам собеседования Стабильные и своевременные выплаты заработной платы 2 раза в месяц График 5/2 время на выбор: 9-18/ 10-19/ 11-20 Оформление по ТК РФ (оплачиваемые больничные листы и отпуск) Дружная команда, в которой царит уютная рабочая атмосфера Офис в шаговой доступности от м. Бабушкинская, БЦ Дежнев Плаза ",JavaScript CSS3 Git HTML5 Sas,https://hh.ru/vacancy/48920972?from=vacancy_search_list&query=frontend
Front-end разработчик,от 300 000 до 700 000 руб. до вычета налогов,PointPay,Москва,,Требуемый опыт работы: более 6 лет,"Полная занятость, удаленная работа","Мы – криптовалютная банковская экосистема, входящая в 5-ку лидеров своего направления. Наша компания растет и развивается, в связи с этим мы сейчас в поиске специалистов для отдела разработки, чтобы вместе создавать революционный и самый технологичный продукт в мире.   Обязанности сотрудника: • ежедневно общаться с проектным менеджером, дизайнерами и командой разработчиков через систему тикетов; • создавать красивые адаптивные страницы, используя самые инновационные решения; • принимать участие в обсуждении лучших и наиболее эффективных решений для проекта   Обязательные требования: • опыт в создании веб-приложений в профессиональной команде (>3-х лет); • Angular 8, Angular 7. • хорошие навыки NGRX (Redux), HTML + CSS • pixelperfect • SCSS • Jira, Bitbucket, Figma, npm, RxJs.   Будет плюсом: • знание шаблонов пользовательского интерфейса и методов проектирования и разработки веб-приложений. Условия работы: • заработная плата выше рынка (обсуждается на собеседовании). Возможности компании не ограничены - вы будете приятно удивлены. • удалённая работа 5/2 и гибкий график; • интересные и живые проекты, нестандартные задачи, возможность влиять на продукт; • низкий уровень бюрократии и контроля; • сотрудничество с суперзвёздной командой; • реальные перспективы роста и возможности развивать свои навыки в мировой компании, разрабатывая и внедряя свои идеи для нашего огромного сообщества пользователей.",CSS JavaScript Angular TypeScript HTM,https://hh.ru/vacancy/49033557?from=vacancy_search_list&query=frontend
Frontend-разработчик,от 200 000 руб. до вычета налогов,Ucheba.ru,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Учёба.ру — это популярный в России интернет-сервис, помогающий молодым людям выбирать образование и готовиться к поступлению, а учебным заведениям — находить своих студентов. Мы активно растем и развиваемся. Уже сегодня нашими продуктами пользуется более 2 млн человек в месяц. Чем мы занимаемся?   Разрабатываем базу данных и сервисы для поиска и сравнения учебных заведений и образовательных программ в России и по всему миру.   Создаем профориентационные онлайн-сервисы, помогающие молодым людям выбрать профессию, специальность и составить индивидуальный план поступления и подготовки.   Работаем над созданием CRM-системы для учебных заведений, позволяющей управлять базой абитуриентов, проводить маркетинговые кампании по привлечению и анализировать их эффективность.   Разрабатываем собственную онлайн-платформу для подготовки к поступлению.   Наша цель — стать лидером в России и выйти на международный рынок, чтобы стать глобальной компанией, помогающей молодым людям по всему миру выбирать образование, готовиться к поступлению и планировать карьеру, чтобы быть более успешными в жизни. Для вас — это возможность присоединиться к команде в начале большого пути и вырасти вместе с нами. Сейчас мы ищем в команду опытного frontend-разработчика для создания нового веб-приложения сайта Учёба.ру. Также мы планируем разработку мобильных приложений на базе React Native. В данный момент, пока разработка находится на начальном этапе, у вас есть возможность разработать такой фронтенд, о котором вы давно мечтали и сделать это в команде настоящих профессионалов. Так как на первых этапах команда frontend-разработчиков будет не очень большая, в ваших руках будет сосредоточено очень много возможностей по реализации своих идей, а так же много интересных и разносторонних задач. Вы сможете стать core разработчиком нового веб-приложения одного из самых крупных образовательных порталов в России и расти вместе с продуктом. Требования:   Отличное знание нативного JavaScript и особенностей его работы.   Отличное знание HTML и CSS, кроссбраузерная и адаптивная верстка.   Хорошие знания TypeScript.   Опыт работы и хорошие знания React, Redux.   Понимание архитектуры SPA/SSR-приложений, Flux, компонентного подхода, функционального и объектно-ориентированного программирования.   Преимуществом будет:   Опыт работы с Next.js.   Опыт работы со Styled Components.   Знание Node.js и принципов его работы.   Опыт работы с гибридными приложениями. Особенно на React Native.   Знание и опыт применения инструментов автоматизации разработки, тестирования и деплоя.   Опыт работы с гибкими методологиями разработки (SCRUM, Agile).   Знание английского языка на уровне необходимом для чтения технической документации.   Полная самоходность, проактивность, здоровый перфекционизм, готовность целиком погружаться в задачи продукта.   Что мы предлагаем вам?   Интересный, полезный и социально значимый продукт.   Использование самых современных технологий и тенденций во frontend разработке: PWA, ES6/7, Service workers, React, Redux, Webpack, Split-chunking и многое другое.   Небольшую, но профессиональную и дружную команду, где всем не всё равно.   Возможность работать удаленно и в удобном для вас графике.   Мощное железо и всё необходимое для работы.   Достойную зарплату.   Ключевые навыки JavaScript, HTML, CSS, Node.js, CSS3, React, Redux, TypeScript, Next.js, StyledComponents, SSR",JavaScript Redux CSS3 React HTML,https://hh.ru/vacancy/48850481?from=vacancy_search_list&query=frontend
Frontend-разработчик,до 380 000 руб. на руки,Точка,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Работать с SPA. Читать и понимать чужой код. Делать Code Review. Написание тестов. Оптимизация своего и чужого кода. Писать чистый и понятный код. JavaScript (es2020+). CSS + SASS. Желательно и будет плюсом: Знание: GraphQL / Apollo. ,JS react typescrip,https://hh.ru/vacancy/48293156?from=vacancy_search_list&query=frontend
Frontend Developer (React),от 180 000 до 330 000 руб. на руки,Wanted,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Мы - продуктовая компания, занимаемся разработкой инновационных решений в области игр и развлекательного контента, и сегодня мы на стадии активного развития. Мы разрабатываем игру в формате real-time с наложенным пользовательским интерфейсом. Это веб-приложение, доступное из любой точки мира, богатое на интересности:   микросервисная архитектура приложения   highload (задача в первый год держать 5 000 подключений, 3 года - 15 000 подключений)   видео стриминг ultra low latency (в пределах 2-х секунд)   разворачиваем специализированный CDN для быстрой доставки наших продуктов в любую точку мира.   Это масштабный, технологически сложный и в тоже время очень интересный, глобальный проект - частью которого можете стать Вы! Наша команда состоит из опытных специалистов, которые постоянно повышают свой уровень и открыты к новым технологиям. Для всех, кто никогда не стоит на месте мы гарантируем профессиональный рост по компетенциям или в лидерство. Для вас:  Заработная плата до 4500 USD на руки (после вычета налогов) Удаленный формат работы Гибкий график - вас никто не заставляет начинать работу в конкретное время, главное - присутствовать на встречах и выполнять поставленные задачи в срок Отсутствие бюрократии Минимум легаси Активное общение внутри команды, любые предложения по реализации задачи приветствуются!  Для нас важно:  Опыт веб-разработки на React, Typescript от 3-х лет Приветствуется опыт с Redux/Mobx, Express, GraphQL, знание Styled-components, WebSockets опыт работы с Git, Docker опыт работы с любым сборщиком (Webpack, Gulp и т.д.)  Оставляйте ваши отклики, чтобы вместе с нами разрабатывать сложные интерфейсы и взаимодействия и развивать интересный и современный проект!",JavaScript TypeScript React Express Git Docker Webpac,https://hh.ru/vacancy/49058459?from=vacancy_search_list&query=frontend
Junior Frontend-разработчик,з/п не указана,Post Scriptum - студия рекламного дизайна,"Серпуховская, Москва, улица Щипок, 22с4",https://hh.ru/search/vacancy/map?vacancy_id=48839256,Требуемый опыт работы: не требуется,"Полная занятость, полный день","Ищем Frontend-разработчика в нашу растущую команду!Обязанности: - хорошие знания HTML, CSS, JavaScript (ES6+), DOM - обязательное наличие портфолио на github/bitbucket etc. - умение верстать валидно и кроссбраузерно, владение БЭМ - умение анимировать: CSS-анимации/GSAP - опыт работы с React/Vue. - работа с системой контроля версий Git - figma на уровне нарезки макета - представление о возможностях интерактива в современных браузерах; - опыт работы с Safari (iOS/MacOS) Условия: Комфортный офис в центре Москвы. Или удаленка после испытательного срока. Полная занятость 5/2, с 10 до 19. Коллектив – 25 человек, дружественная обстановка. Оплата – по результатам собеседования в зависимости от уровня знаний с перспективой роста. Мы приветствуем и поддерживаем желание профессионально расти и получать новые знания (курсы, тренинги)!",Git CSS HTML Figma reac,https://hh.ru/vacancy/48839256?from=vacancy_search_list&query=frontend
name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Frontend - СЂР°Р·СЂР°Р±РѕС‚С‡РёРє РІ РЎР±РµСЂРµ,Р·/Рї РЅРµ СѓРєР°Р·Р°РЅР°,РЎР±РµСЂ. IT,РњРѕСЃРєРІР°,,,,Р Р°Р·СЂР°Р±Р°С‚С‹РІР°С‚СЊ РёРЅС‚РµСЂС„РµР№СЃРЅС‹Рµ РєРѕРјРїРѕРЅРµРЅС‚С‹: РёРЅС„СЂР°СЃС‚СЂСѓРєС‚СѓСЂР° Рё РІРµР±-РёРЅС‚РµСЂС„РµР№СЃС‹ РІ Р·Р°РІРёСЃРёРјРѕСЃС‚Рё РѕС‚ РїСЂРѕРµРєС‚Р°/РїСЂРѕРґСѓРєС‚Р°. Р Р°Р·СЂР°Р±Р°С‚С‹РІР°С‚СЊ РєР»РёРµРЅС‚СЃРєСѓСЋ Р»РѕРіРёРєСѓ РЅР° JS. Р Р°Р·СЂР°Р±Р°С‚С‹РІР°С‚СЊ Р±РёР±Р»РёРѕС‚РµРєСѓ РґР»СЏ...Р§РµРј Р±СѓРґРµС€СЊ Р·Р°РЅРёРјР°С‚СЊСЃСЏ: РћС‚Р»РёС‡РЅРѕРµ Р·РЅР°РЅРёРµ JavaScript. РџСЂР°РєС‚РёС‡РµСЃРєРёР№ РѕРїС‹С‚ РїСЂРѕРµРєС‚РёСЂРѕРІР°РЅРёСЏ Рё СЂР°Р·СЂР°Р±РѕС‚РєРё РЅР° React. РҐРѕСЂРѕС€РµРµ Р·РЅР°РЅРёРµ HTML Рё CSS. ,,https://hh.ru/vacancy/47300575?from=vacancy_search_list&query=frontend
